"BHK","Rent","Size","Current_floor","Total_floor","Area_type","Area_locality","City","Furnishing_status","Tenant_preferred","Bathroom","Contact"
3,10000,1500,11,19,"Super","Santoshpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,5000,300,1,3,"Super","Noapara, Addarsha Pally","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,10000,800,0,2,"Carpet","Arobindo Pally, Paschim Putiary","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,7000,450,0,2,"Super","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
4,10000,1200,5,10,"Super","Naihati","Kolkata","Furnished","Bachelors/Family",2,"Owner"
2,6000,500,11,14,"Super","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,18000,900,0,1,"Carpet","Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,8000,460,0,2,"Carpet","Majarhati","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,8000,530,2,3,"Super","Baghajatin","Kolkata","Semi-Furnished","Family",1,"Owner"
2,13000,650,0,4,"Carpet","Lake Gardens","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,20000,700,0,1,"Carpet","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors",2,"Owner"
2,6000,400,2,3,"Super","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,12000,1000,0,2,"Super","Picnic Garden, Tiljala","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,10000,400,0,2,"Carpet","New Garia, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Owner"
2,14000,700,0,3,"Carpet","Santoshpur","Kolkata","Unfurnished","Bachelors",2,"Owner"
2,10000,850,1,4,"Carpet","Baranagar","Kolkata","Semi-Furnished","Bachelors",2,"Owner"
2,10500,558,3,3,"Carpet","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",2,"Agent"
2,6000,800,3,4,"Super","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,12000,900,1,2,"Carpet","Bansdroni Mauza, Krishnanagar","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,14000,1600,1,3,"Super","Ramrajatala","Kolkata","Furnished","Bachelors/Family",2,"Owner"
1,3700,150,1,5,"Carpet","Lake Gardens","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,40000,1600,0,3,"Carpet","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Agent"
3,25000,1000,2,4,"Super","Rash Behari Avenue Connector","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,2200,700,1,3,"Super","Baranagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,3300,175,0,2,"Super","New Town","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5000,450,0,1,"Super","Siriti, Tollygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
3,60000,1700,1,3,"Carpet","Salt Lake City","Kolkata","Semi-Furnished","Bachelors",3,"Agent"
2,6000,425,2,3,"Carpet","Nimta","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,7000,900,1,2,"Super","Michael Nagar, New Barrakpur","Kolkata","Semi-Furnished","Bachelors/Family",3,"Owner"
1,5000,400,4,4,"Carpet","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
2,11000,600,0,2,"Super","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
2,10000,721,3,4,"Super","Belgharia Nimta","Kolkata","Furnished","Bachelors/Family",2,"Owner"
3,22000,1150,1,2,"Carpet","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",2,"Agent"
3,65000,2210,0,2,"Carpet","Vedic Village, Rajarhat","Kolkata","Unfurnished","Bachelors/Family",3,"Owner"
2,7500,675,0,2,"Super","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,45000,1320,-1,2,"Super","Ballygunge","Kolkata","Furnished","Bachelors/Family",2,"Owner"
1,5000,250,0,2,"Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
2,12000,720,0,1,"Super","Shyam Bazar","Kolkata","Unfurnished","Bachelors",2,"Owner"
5,25000,1880,2,2,"Carpet","Dashdrone","Kolkata","Unfurnished","Bachelors",2,"Owner"
3,18000,850,1,1,"Carpet","Sangati Colony, Netaji Nagar","Kolkata","Semi-Furnished","Bachelors/Family",3,"Owner"
2,25000,1050,1,1,"Carpet","Sahapur, New Alipore","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,25000,320,2,7,"Super","Shaheen Apartment, Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
2,70000,750,4,10,"Carpet","Santacruz West","Mumbai","Furnished","Bachelors/Family",2,"Agent"
1,45000,450,7,10,"Carpet","Rose Queen, Old Khar","Mumbai","Furnished","Bachelors/Family",1,"Agent"
3,75000,1100,2,13,"Carpet","Sabari Palm View, Chembur","Mumbai","Unfurnished","Family",3,"Agent"
1,14000,640,6,7,"Super","Mira Road","Mumbai","Furnished","Bachelors/Family",1,"Owner"
1,60000,650,4,7,"Super","Siddhivinayak, Bandra West","Mumbai","Unfurnished","Bachelors",1,"Agent"
2,160000,800,14,14,"Carpet","parivar safalya chs","Mumbai","Unfurnished","Bachelors/Family",2,"Owner"
4,300000,1600,43,78,"Carpet","Trump Tower, Worli","Mumbai","Semi-Furnished","Bachelors/Family",5,"Agent"
1,22000,460,2,8,"Super","Sion","Mumbai","Unfurnished","Bachelors/Family",1,"Owner"
4,130000,1650,13,18,"Carpet","Ajmera Bhakti Park, Bhakti Park","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
1,33000,480,2,4,"Carpet","Sion Hospital Colony","Mumbai","Semi-Furnished","Bachelors",2,"Agent"
1,32000,500,1,4,"Carpet","Sion","Mumbai","Furnished","Bachelors",2,"Agent"
1,30000,490,2,4,"Carpet","Sion East, Sion","Mumbai","Semi-Furnished","Bachelors",2,"Agent"
1,49000,620,2,3,"Super","Sai Palace Apartment, Vile Parle West","Mumbai","Furnished","Bachelors/Family",1,"Owner"
2,28000,518,5,12,"Carpet","Bhandup West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
2,33500,700,4,7,"Carpet","Yogi Hills, Mulund West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,85000,777,18,24,"Carpet","Hiranandani Castle Rock, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,35000,650,6,7,"Carpet","Charkop","Mumbai","Unfurnished","Family",2,"Agent"
3,270000,1800,3,7,"Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
5,400000,2308,17,31,"Carpet","Runwal Elegante, Andheri West","Mumbai","Furnished","Family",5,"Agent"
1,21000,425,11,21,"Carpet","Godrej Tranquil, Kandivali East","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,150000,890,7,19,"Carpet","Cuffe Parade","Mumbai","Unfurnished","Bachelors",2,"Owner"
1,22000,270,14,23,"Super","Mahim West","Mumbai","Unfurnished","Bachelors/Family",1,"Owner"
2,100000,850,4,7,"Carpet","Prabhadevi","Mumbai","Semi-Furnished","Bachelors",2,"Agent"
2,60000,888,9,20,"Carpet","Shapoorji Pallonji Vicinia, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,8000,650,-2,9,"Carpet","Nakoda Heights, Nalasopara","Mumbai","Semi-Furnished","Family",2,"Agent"
1,20000,275,19,24,"Carpet","Worli","Mumbai","Unfurnished","Bachelors",1,"Agent"
2,20000,700,3,21,"Carpet","Man Opus, Kashimira","Mumbai","Semi-Furnished","Family",2,"Agent"
1,25000,375,1,22,"Super","Lal Baug","Mumbai","Unfurnished","Bachelors/Family",1,"Owner"
1,14000,424,3,7,"Super","Malad East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
1,19411,400,8,8,"Super","Goregaon West","Mumbai","Furnished","Bachelors/Family",2,"Owner"
1,23000,450,6,12,"Carpet","Dheeraj Hill View Tower, Thakur Village, Kandivali East","Mumbai","Furnished","Bachelors/Family",1,"Agent"
4,190000,2079,4,58,"Carpet","Bombay Dyeing Two ICC, Dadar East","Mumbai","Semi-Furnished","Bachelors/Family",5,"Agent"
2,32000,586,0,4,"Super","Everard Nagar Co Operative Housing Society, Sion East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
2,68000,610,1,5,"Carpet","shivsagar","Mumbai","Furnished","Bachelors/Family",2,"Owner"
1,30000,488,-2,16,"Carpet","Kyraa Ariso Apartment, Chembur","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
3,110000,1200,60,66,"Carpet","Lodha Azzuro , Parel","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
2,44000,722,34,48,"Carpet","Sheth Montana, Mulund West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
1,20000,450,5,8,"Carpet","Gokul Regency Apartment, Thakur Complex","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
1,25000,500,2,8,"Super","Ghatkopar West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
2,40000,680,5,14,"Carpet","NG Royal Park, Kanjurmarg East","Mumbai","Furnished","Bachelors",2,"Agent"
2,43000,1150,14,40,"Carpet","Montana Giona, Moti Nagar","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,44000,830,2,2,"Carpet","Sapphire Heights, Lokhandwala Twp","Mumbai","Furnished","Bachelors",2,"Agent"
1,75000,550,5,7,"Carpet","Bandra West","Mumbai","Furnished","Bachelors/Family",1,"Agent"
1,32000,470,6,7,"Carpet","Central Area","Mumbai","Semi-Furnished","Family",2,"Agent"
1,16000,410,9,22,"Carpet","Mira Bhayandar","Mumbai","Semi-Furnished","Family",2,"Agent"
2,65000,710,11,14,"Carpet","Ajmera Bhakti Park, Bhakti Park","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,45000,750,12,18,"Carpet","Ajmera Bhakti Park, Bhakti Park","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,57000,800,6,7,"Carpet","Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
1,27000,435,3,7,"Carpet","Film City Road","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
1,57000,500,26,44,"Carpet","Lodha New Cuffe Parade, Wadala","Mumbai","Semi-Furnished","Bachelors/Family",1,"Agent"
2,55000,800,1,8,"Carpet","Evershine Grandeur, Mindspace","Mumbai","Furnished","Bachelors/Family",2,"Agent"
1,40000,540,2,4,"Carpet","Vile Parle East","Mumbai","Semi-Furnished","Family",2,"Agent"
2,95000,1050,25,42,"Carpet","Lodha New Cuffe Parade, Wadala East","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,85000,700,25,41,"Carpet","Lodha New Cuffe Parade, Wadala","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
4,300000,1600,53,78,"Carpet","Trump Tower, Worli","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
2,80000,600,2,5,"Carpet","Breach Candy","Mumbai","Furnished","Bachelors/Family",1,"Agent"
1,13000,300,0,7,"Super","Malad West","Mumbai","Unfurnished","Bachelors/Family",2,"Owner"
1,28000,550,3,4,"Carpet","Ambika Siddhi Apartment, Ghatkopar","Mumbai","Unfurnished","Bachelors",2,"Owner"
3,89000,932,14,20,"Carpet","Powai","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
1,28000,450,13,20,"Carpet","Dina Bama Estate","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,13000,600,2,4,"Carpet","Mira Road","Mumbai","Unfurnished","Bachelors/Family",2,"Owner"
1,24000,424,16,23,"Carpet","Sethia Kalpavruksh Heights, Irani Wada","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,38000,560,0,3,"Carpet","Andheri East","Mumbai","Furnished","Bachelors",2,"Owner"
1,32000,450,10,18,"Carpet","Goregaon West","Mumbai","Unfurnished","Bachelors",2,"Agent"
4,350000,3000,39,60,"Carpet","Lodha World Crest, Lower Parel","Mumbai","Semi-Furnished","Bachelors/Family",5,"Agent"
1,40000,600,3,7,"Carpet","Lokhandwala Complex","Mumbai","Furnished","Family",2,"Agent"
3,150000,1400,16,21,"Carpet","darshan ricco Tower","Mumbai","Furnished","Bachelors",3,"Agent"
2,45000,630,10,32,"Carpet","Kanjurmarg West","Mumbai","Unfurnished","Bachelors",2,"Agent"
3,170000,1400,4,8,"Carpet","Khar West","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
1,30000,320,12,24,"Super","Worli","Mumbai","Furnished","Family",1,"Owner"
2,210000,1000,4,8,"Carpet","Bandra West","Mumbai","Unfurnished","Bachelors",2,"Agent"
3,75000,1150,32,41,"Carpet","Kanakia Levels, Malad East","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
2,47000,751,3,30,"Carpet","Kalpataru Towers, Akurli Nagar","Mumbai","Semi-Furnished","Family",2,"Agent"
2,14000,570,4,7,"Carpet","Kailash Tower, Nalasopara","Mumbai","Furnished","Family",2,"Agent"
2,55000,696,13,21,"Carpet","Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
4,120000,1600,9,29,"Carpet","Anant Bhoomi, Mahavir Nagar","Mumbai","Unfurnished","Family",4,"Agent"
3,300000,2500,47,89,"Carpet","India Bulls Sky Forest, Lower Parel","Mumbai","Semi-Furnished","Bachelors",3,"Agent"
3,70000,1150,7,41,"Carpet","Kanakia Levels, Malad East","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
3,150000,1500,7,10,"Carpet","Almeida Park, Turner Road","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
3,62000,950,6,7,"Carpet","Bhakti Park","Mumbai","Furnished","Bachelors/Family",3,"Agent"
2,42000,750,11,21,"Carpet","RNA ROYALE PARK, Kandivali West","Mumbai","Unfurnished","Bachelors",2,"Agent"
2,130000,715,5,10,"Carpet","Bandra West","Mumbai","Furnished","Bachelors/Family",2,"Agent"
3,170000,1337,28,30,"Carpet","Oberoi Splendor Grande, Agarkar Chowk","Mumbai","Furnished","Bachelors/Family",3,"Agent"
3,20000,737,13,15,"Carpet","Ekta Parksville, Virar West","Mumbai","Semi-Furnished","Bachelors",3,"Agent"
2,41000,750,6,21,"Carpet","RNA ROYALE PARK, Kandivali West","Mumbai","Unfurnished","Bachelors",2,"Agent"
2,65000,760,4,7,"Carpet","Prabhadevi","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,50000,750,8,16,"Carpet","Green Park Apartment, Millat Nagar","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,85000,650,2,6,"Carpet","Breach Candy","Mumbai","Semi-Furnished","Bachelors",2,"Agent"
2,50000,1000,4,7,"Super","Ghatkopar East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
1,30000,570,0,3,"Carpet","Kurla West","Mumbai","Unfurnished","Bachelors/Family",1,"Owner"
2,120000,900,5,19,"Carpet","Beach Towers, Prabhadevi","Mumbai","Semi-Furnished","Family",2,"Agent"
2,60000,760,3,11,"Carpet","Kolte Patil Jai Vijay, New Airport Colony","Mumbai","Unfurnished","Family",2,"Agent"
3,110000,1500,17,42,"Carpet","Lodha New Cuffe Parade, Bhakti Park","Mumbai","Unfurnished","Bachelors/Family",4,"Agent"
3,84500,1150,10,12,"Carpet","Chembur East","Mumbai","Unfurnished","Family",3,"Agent"
3,80000,1100,8,28,"Carpet","HDIL Metropolis, 4 Bunglows","Mumbai","Semi-Furnished","Family",3,"Agent"
3,50000,1000,9,15,"Carpet","Heena Gaurav Jewels, Gokuldham","Mumbai","Furnished","Bachelors/Family",3,"Agent"
2,40000,720,14,22,"Carpet","shabri shan","Mumbai","Unfurnished","Bachelors",2,"Agent"
1,34000,365,18,40,"Carpet","Malad East","Mumbai","Furnished","Family",1,"Agent"
4,220000,2000,9,17,"Carpet","Juhu Tara","Mumbai","Furnished","Bachelors/Family",4,"Agent"
1,25000,400,2,13,"Carpet","Mindspace, Mindspace","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
3,150000,1330,12,45,"Carpet","Oberoi Esquire, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
3,85000,850,25,35,"Carpet","Oberoi Woods, Goregaon East","Mumbai","Semi-Furnished","Family",3,"Agent"
4,180000,2000,4,14,"Carpet","Vertical Bliss, Bandra West","Mumbai","Furnished","Bachelors/Family",5,"Agent"
2,40000,700,2,6,"Carpet","Sher E Punjab Society","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,50000,900,7,15,"Carpet","Oshiwara","Mumbai","Semi-Furnished","Bachelors",2,"Agent"
2,38000,650,10,16,"Carpet","Nirmal Lifestyle, LBS Marg","Mumbai","Furnished","Family",2,"Agent"
4,310000,2600,-2,20,"Carpet","Lokhandwala Complex","Mumbai","Unfurnished","Family",4,"Agent"
2,50000,680,5,14,"Carpet","Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
3,65000,950,-2,9,"Carpet","Tilak Nagar - Harbour Line","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
4,210000,1783,5,20,"Carpet","GREEN PARK","Mumbai","Semi-Furnished","Bachelors/Family",3,"Owner"
3,150000,1330,-2,40,"Carpet","Lodha Ajuro tower lalbag","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
1,32000,565,1,8,"Super","Lake Bloom, Powai","Mumbai","Unfurnished","Bachelors/Family",2,"Owner"
1,26000,450,4,8,"Carpet","Kalina","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
2,60000,710,5,18,"Carpet","Bhakti Park, Bhakti Park","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
3,190000,1514,34,58,"Carpet","Bombay Dyeing Two ICC, Dadar East","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
3,100000,1080,5,8,"Carpet","Santacruz West","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
2,35000,700,5,8,"Carpet","MUKTA MAHEK, Thakur Complex","Mumbai","Unfurnished","Family",2,"Agent"
3,68000,890,11,19,"Carpet","Kanakia Rainforest, Marol","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
3,150000,1250,5,8,"Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
1,18000,300,4,6,"Super","Vile Parle West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
2,55000,720,5,7,"Carpet","Dheeraj Swapna Apartment, Pali Hill","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
3,65000,825,20,22,"Carpet","Lokhandwala Complex","Mumbai","Furnished","Family",3,"Agent"
2,80000,500,1,5,"Carpet","Vile Parle East","Mumbai","Furnished","Bachelors/Family",2,"Owner"
2,53000,750,12,19,"Carpet","Lake Florence, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,80000,750,15,18,"Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
1,18000,360,3,7,"Carpet","Anita, Lokhandwala Twp","Mumbai","Furnished","Bachelors/Family",1,"Agent"
4,250000,1545,65,78,"Carpet","Trump Tower, Worli","Mumbai","Semi-Furnished","Family",5,"Agent"
1,17500,400,4,4,"Carpet","Evershine Nagar","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
3,43000,750,6,16,"Carpet","Mahavir Nagar","Mumbai","Unfurnished","Family",2,"Agent"
1,13500,432,5,8,"Carpet","Hiral Greens, Mira Road East","Mumbai","Unfurnished","Family",2,"Agent"
2,18000,780,17,22,"Carpet","Man Opus, Mira Road","Mumbai","Unfurnished","Family",2,"Agent"
2,75000,695,4,7,"Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Agent"
1,18000,375,6,24,"Carpet","Prasanna Vastu Chs, Jankalyan Nagar","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
3,160000,1095,40,75,"Carpet","Lodha The Park, Worli","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
1,32000,475,4,4,"Carpet","Shri Swami Samarth Nagar","Mumbai","Semi-Furnished","Family",2,"Agent"
2,55000,790,9,15,"Carpet","Vijaya Heritage, Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,47000,661,19,38,"Carpet","Runwal Forests, Kanjurmarg West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,35000,700,5,7,"Carpet","Evershine Millenium Paradise, Thakur Village, Kandivali East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
1,15000,420,6,7,"Carpet","Dahisar East","Mumbai","Semi-Furnished","Family",1,"Agent"
2,50000,750,5,7,"Carpet","D.N. Nagar","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,25500,950,0,4,"Super","Dhanukar Wadi","Mumbai","Semi-Furnished","Bachelors/Family",3,"Owner"
5,350000,1880,15,31,"Carpet","Runwal Elegante, Andheri West","Mumbai","Furnished","Family",5,"Agent"
3,55000,1350,11,28,"Carpet","Ekta Meadows, Borivali East","Mumbai","Furnished","Bachelors/Family",3,"Agent"
1,25000,330,4,6,"Super","Mazgaon","Mumbai","Semi-Furnished","Family",1,"Owner"
2,50000,750,8,16,"Carpet","Safal Saraswati, Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,65000,925,10,22,"Carpet","MJ Shah Centrio, Chembur","Mumbai","Furnished","Bachelors/Family",3,"Agent"
3,50000,1150,17,24,"Carpet","Benzer Tower, Thakur Complex","Mumbai","Semi-Furnished","Family",3,"Agent"
3,65000,1105,15,19,"Carpet","Hillcrest, Chakala MIDC","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
3,160000,1050,9,10,"Carpet","Khar","Mumbai","Furnished","Bachelors",3,"Agent"
1,25000,410,4,8,"Carpet","Friends Colony","Mumbai","Semi-Furnished","Bachelors",1,"Agent"
1,32000,460,7,12,"Carpet","Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
1,21000,600,2,2,"Super","Reay road east","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
1,20000,570,6,7,"Super","Leo Ratnakar, Mahavir Nagar","Mumbai","Furnished","Bachelors/Family",2,"Owner"
2,55000,720,8,20,"Carpet","Chembur East","Mumbai","Furnished","Bachelors/Family",2,"Agent"
1,32000,500,4,4,"Carpet","Chirag Nagar","Mumbai","Semi-Furnished","Bachelors",2,"Owner"
4,150000,1460,11,13,"Carpet","Insignia, Bandra East","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
1,30000,415,5,8,"Carpet","Ekta Meadows, Borivali East","Mumbai","Unfurnished","Bachelors",2,"Agent"
3,150000,1400,6,12,"Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
1,27000,270,1,4,"Carpet","Mumbai Central","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
2,47000,585,7,8,"Carpet","Gokuldham","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
4,150000,1755,9,19,"Carpet","Ekta Legranz, Chembur","Mumbai","Unfurnished","Family",4,"Agent"
1,27000,550,4,7,"Carpet","Borivali West","Mumbai","Furnished","Family",2,"Owner"
3,160000,1300,37,51,"Carpet","Lodha Primero, Mahalakshmi","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent"
2,100000,1200,6,11,"Super","Mount Mary","Mumbai","Furnished","Bachelors/Family",2,"Agent"
2,45002,600,9,17,"Carpet","Raheja Vista, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
2,48000,700,8,15,"Carpet","Sundew CHS, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
1,18000,385,11,20,"Carpet","Garden View Apartment, Aarey Milk Colony","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
1,7500,500,2,2,"Carpet","Suram Park Society","Mumbai","Semi-Furnished","Bachelors",1,"Owner"
2,50000,850,10,23,"Carpet","Film City","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
3,55000,900,-2,10,"Carpet","Chikuwadi","Mumbai","Semi-Furnished","Family",2,"Agent"
1,26000,400,4,7,"Carpet","Dheeraj Kiran CHS Walad West, Sunder Nagar","Mumbai","Unfurnished","Bachelors/Family",1,"Agent"
2,17000,600,7,23,"Carpet","DB Ozone, Mira Road","Mumbai","Unfurnished","Bachelors",2,"Owner"
2,40000,750,5,8,"Carpet","Vasant Marvel, Magathane","Mumbai","Semi-Furnished","Family",2,"Agent"
2,43000,628,4,11,"Carpet","Andheri East","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
3,140000,1330,17,43,"Carpet","Lodha Altia, Wadala East","Mumbai","Unfurnished","Bachelors",4,"Agent"
3,140000,1064,7,22,"Carpet","Rustomjee Seasons, Bandra East","Mumbai","Unfurnished","Bachelors/Family",3,"Agent"
3,120000,1200,14,18,"Carpet","Stellar Tower, Lokhandwala Complex","Mumbai","Furnished","Family",3,"Agent"
4,400000,2200,6,10,"Carpet","Juhu","Mumbai","Furnished","Bachelors/Family",4,"Agent"
2,21000,630,8,12,"Carpet","Beverly Park","Mumbai","Semi-Furnished","Family",2,"Agent"
2,40000,650,3,7,"Carpet","Sindhi Society Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,40000,845,7,8,"Super","Vikhroli West","Mumbai","Furnished","Bachelors/Family",2,"Owner"
3,230000,1915,3,18,"Super","Ashok tower, Parel","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent"
2,20000,900,7,7,"Super","Mira Road","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
2,60000,807,14,58,"Carpet","Auris Serenity, Malad West","Mumbai","Unfurnished","Bachelors",2,"Agent"
2,35000,1100,0,3,"Super","Mulund East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
3,300000,1600,18,23,"Super","Chaitanya Towers, Prabhadevi","Mumbai","Semi-Furnished","Bachelors/Family",5,"Owner"
2,6500,790,3,7,"Super","Deep Heights, Nalasopara","Mumbai","Unfurnished","Bachelors/Family",2,"Owner"
1,15000,380,19,19,"Carpet","sra","Mumbai","Unfurnished","Bachelors/Family",1,"Owner"
2,38000,650,4,10,"Carpet","Ahimsa Marg, Mindspace","Mumbai","Unfurnished","Family",2,"Agent"
2,35000,800,9,20,"Carpet","Borivali East","Mumbai","Semi-Furnished","Family",2,"Agent"
2,32000,830,13,14,"Super","Bhandup West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner"
1,16000,410,0,4,"Carpet","Mamletdarwadi","Mumbai","Unfurnished","Bachelors",1,"Owner"
1,33000,428,7,11,"Carpet","Crescent Solitaire, Sakinaka Junction","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
1,8500,550,3,5,"Super","Thane-Kalyan-Dombivli","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner"
2,60000,630,11,22,"Carpet","Central Area","Mumbai","Unfurnished","Bachelors",2,"Agent"
1,20000,550,5,7,"Super","Rock garden Chs","Mumbai","Unfurnished","Bachelors",2,"Owner"
1,38000,450,4,8,"Carpet","Juveria Apartment, Mazgaon","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,100000,750,-2,30,"Carpet","Lodha NCP Commercial , Wadala","Mumbai","Unfurnished","Bachelors/Family",2,"Agent"
2,65000,800,12,14,"Carpet","Kabra Centroid, Santacruz East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent"
3,80000,1050,16,31,"Carpet","HDIL Metropolis, Andheri West","Mumbai","Furnished","Family",3,"Agent"
